datetime,vx,vy,vz,Vvec,Vhorz,gamma,psi,vx12,vy12,Vhorz12,vx23,vy23,Vhorz23,vx31,vy31,Vhorz31,vx_pp,vy_pp,vz_pp,vx12_pp,vy12_pp,vx23_pp,vy23_pp,vx31_pp,vy31_pp,Vvec_pp,Vhorz_pp,gamma_pp,psi_pp,Vhorz12_pp,Vhorz23_pp,Vhorz31_pp,fe_R,fe_T,fe_P,dZ_eff,dZ1,dZ2,dZ3,dL,Leff,u,v,w,u12,v12,w12,u23,v23,w23,u31,v31,w31,u_pp,v_pp,w_pp,u12_pp,v12_pp,w12_pp,u23_pp,v23_pp,w23_pp,u31_pp,v31_pp,w31_pp,dt1,dt2,dt3,qc1,qc2
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:59:00+00:00,1.1763,-2.5576,0.4998,2.9841,2.8297,-2.0015,0.2359,-2.1458,1.9270,3.1828,-3.0052,1.3497,3.3070,-2.3483,-0.1039,2.8652,1.0618,-2.5074,0.8741,-1.7828,2.3846,-3.2897,1.3653,-2.1465,-1.1459,2.9465,2.7847,-1.9669,0.2987,3.0396,3.6071,2.7477,-0.0751,6.2825,6.2831,7.5283,7.5649,7.5317,6.7406,2.9945,1.4379,0.7617,-2.7101,0.4998,-1.8180,2.2390,0.0000,-2.7571,1.8032,0.0000,-2.3357,0.2648,0.0000,0.6565,-2.6426,0.8741,-1.3879,2.6341,0.0000,-3.0356,1.8631,0.0000,-2.2993,-0.7960,0.0000,3.1007,3.1015,3.1015,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:59:00+00:00,1.1763,-2.5576,0.4998,2.9841,2.8297,-2.0015,0.2359,-2.1458,1.9270,3.1828,-3.0052,1.3497,3.3070,-2.3483,-0.1039,2.8652,1.0618,-2.5074,0.8741,-1.7828,2.3846,-3.2897,1.3653,-2.1465,-1.1459,2.9465,2.7847,-1.9669,0.2987,3.0396,3.6071,2.7477,-0.0751,6.2825,6.2831,7.5283,7.5649,7.5317,6.7406,2.9945,1.4379,0.7617,-2.7101,0.4998,-1.8180,2.2390,0.0000,-2.7571,1.8032,0.0000,-2.3357,0.2648,0.0000,0.6565,-2.6426,0.8741,-1.3879,2.6341,0.0000,-3.0356,1.8631,0.0000,-2.2993,-0.7960,0.0000,3.1007,3.1015,3.1015,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:59:00+00:00,1.1763,-2.5576,0.4998,2.9841,2.8297,-2.0015,0.2359,-2.1458,1.9270,3.1828,-3.0052,1.3497,3.3070,-2.3483,-0.1039,2.8652,1.0618,-2.5074,0.8741,-1.7828,2.3846,-3.2897,1.3653,-2.1465,-1.1459,2.9465,2.7847,-1.9669,0.2987,3.0396,3.6071,2.7477,-0.0751,6.2825,6.2831,7.5283,7.5649,7.5317,6.7406,2.9945,1.4379,0.7617,-2.7101,0.4998,-1.8180,2.2390,0.0000,-2.7571,1.8032,0.0000,-2.3357,0.2648,0.0000,0.6565,-2.6426,0.8741,-1.3879,2.6341,0.0000,-3.0356,1.8631,0.0000,-2.2993,-0.7960,0.0000,3.1007,3.1015,3.1015,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:59:00+00:00,1.1763,-2.5576,0.4998,2.9841,2.8297,-2.0015,0.2359,-2.1458,1.9270,3.1828,-3.0052,1.3497,3.3070,-2.3483,-0.1039,2.8652,1.0618,-2.5074,0.8741,-1.7828,2.3846,-3.2897,1.3653,-2.1465,-1.1459,2.9465,2.7847,-1.9669,0.2987,3.0396,3.6071,2.7477,-0.0751,6.2825,6.2831,7.5283,7.5649,7.5317,6.7406,2.9945,1.4379,0.7617,-2.7101,0.4998,-1.8180,2.2390,0.0000,-2.7571,1.8032,0.0000,-2.3357,0.2648,0.0000,0.6565,-2.6426,0.8741,-1.3879,2.6341,0.0000,-3.0356,1.8631,0.0000,-2.2993,-0.7960,0.0000,3.1007,3.1015,3.1015,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
2022-04-26 18:58:00+00:00,1.0247,-3.4317,0.3493,3.7379,3.5983,-1.8628,0.1606,-3.1470,1.5426,3.8088,-3.7431,1.1450,3.9286,-3.2852,0.1282,3.8004,0.9013,-3.2157,0.5764,-2.7373,1.7751,-3.7311,1.1013,-2.9785,-0.5498,3.4445,3.3793,-1.8506,0.1680,3.3235,3.9242,3.2329,-0.0780,6.2811,6.2831,7.5239,7.5626,7.5285,6.7372,2.9891,1.4384,0.4752,-3.5497,0.3493,-2.8669,2.0160,0.0000,-3.5179,1.7164,0.0000,-3.2247,0.6405,0.0000,0.3872,-3.3171,0.5764,-2.4259,2.1815,0.0000,-3.5129,1.6714,0.0000,-3.0278,-0.0771,0.0000,3.0924,3.1038,3.0908,1.0000,1.0000
